abandon,버리다
ability,능력
able,~할 수 있는
abroad,해외에
absence,부재
absolute,절대적인
absorb,흡수하다
abstract,추상적인
abundant,풍부한
academic,학문의
accept,받아들이다
access,접근
accident,사고
accompany,동행하다
accomplish,성취하다
according,~에 따르면
account,계정; 설명
accurate,정확한
achieve,성취하다
acknowledge,인정하다
acquire,습득하다
across,가로질러
act,행동하다
action,행동
active,활동적인
activity,활동
actual,실제의
adapt,적응하다
add,더하다
addition,추가
address,주소; 다루다
adequate,충분한
adjust,조정하다
administration,행정
admire,존경하다
admit,인정하다
adopt,채택하다; 입양하다
advance,전진; 발전
advantage,이점
adventure,모험
advertise,광고하다
advice,조언
advise,조언하다
affair,일; 사건
affect,영향을 미치다
afford,여유가 있다
afraid,두려운
afterward,그 후에
agency,기관
agenda,의제
aggressive,공격적인
agree,동의하다
agreement,합의
agriculture,농업
aid,돕다; 도움
aim,목표; 겨냥하다
aircraft,항공기
alarm,경보
album,앨범
alcohol,알코올
alert,경계하는
alien,외국의; 외계인
alive,살아 있는
allow,허락하다
almost,거의
alone,혼자
along,~을 따라
already,이미
alternative,대안
although,비록 ~일지라도
altogether,완전히
always,항상
amaze,깜짝 놀라게 하다
ambition,야망
amount,양
analysis,분석
analyze,분석하다
ancient,고대의
anger,분노
angle,각도
announce,발표하다
annual,매년의
another,또 다른
answer,대답
anxiety,불안
anxious,걱정하는
anybody,누구든지
anywhere,어디든지
apart,떨어져
apologize,사과하다
apparent,분명한
appeal,호소하다; 매력
appear,나타나다
appearance,외모; 출현
application,지원; 적용
apply,지원하다; 적용하다
appoint,임명하다
appreciate,감사하다; 이해하다
approach,접근하다; 접근
appropriate,적절한
approve,승인하다
baby,아기
back,뒤; 뒤로
background,배경
backward,뒤쪽으로; 뒤로
bacteria,세균
bad,나쁜
badly,심하게; 나쁘게
bag,가방
bake,굽다
balance,균형; 균형을 잡다
ball,공
ban,금지하다; 금지
band,밴드; 무리
bank,은행; 둑
bar,막대; 술집
bare,맨몸의; 벌거벗은
bargain,흥정; 특가품
barrier,장벽
base,기초; 기반
basic,기본적인
basis,기초; 근거
basket,바구니
battle,전투
beach,해변
beam,광선; 들보
bear,곰; 견디다
beat,이기다; 두드리다
beautiful,아름다운
beauty,아름다움
because,왜냐하면
become,~이 되다
bed,침대
bedroom,침실
bee,벌
beef,소고기
before,~전에
begin,시작하다
beginning,시작
behavior,행동
behind,뒤에
belief,믿음
believe,믿다
belong,속하다
below,아래에
belt,벨트
bench,벤치
benefit,이익; 도움이 되다
beside,~옆에
besides,게다가
best,최고의
bet,내기; 내기를 하다
better,더 좋은
between,~사이에
beyond,~을 넘어서
bicycle,자전거
big,큰
bill,계산서; 법안
biology,생물학
bird,새
birth,출생
birthday,생일
biscuit,비스킷
bit,조금
bite,물다
bitter,쓴; 괴로운
black,검은
blame,비난하다
blank,빈; 공백의
blind,눈먼
block,막다; 블록
blood,피
blow,불다
blue,파란
board,판; 탑승하다
boat,배
body,몸
boil,끓이다
bold,대담한
bomb,폭탄
bone,뼈
book,책
border,국경; 경계
bore,지루하게 하다
boring,지루한
borrow,빌리다
boss,상사
both,둘 다
bother,괴롭히다; 신경 쓰다
bottle,병
bottom,바닥
boundary,경계
bowl,그릇
box,상자
brain,뇌
branch,가지; 지점
brand,상표
brave,용감한
bread,빵
break,깨뜨리다; 휴식
breathe,숨 쉬다
bridge,다리
brief,간단한
bright,밝은; 영리한
bring,가져오다
broad,넓은
broadcast,방송하다
brother,형제
brown,갈색의
build,짓다
building,건물
burn,태우다
burst,터지다
bury,묻다
business,사업
busy,바쁜
but,그러나
button,단추
buy,사다
by,~에 의해; ~옆에
cab,택시
cabin,오두막; 객실
cabinet,내각; 캐비닛
calculate,계산하다
calculation,계산
calendar,달력
call,부르다; 전화하다
calm,차분한; 진정시키다
camera,카메라
camp,야영하다; 캠프
campaign,운동; 캠페인
campus,교정
can,~할 수 있다
cancel,취소하다
candidate,후보자
cap,모자
capable,유능한; ~할 수 있는
capacity,용량; 능력
capital,수도; 자본
captain,선장; 주장
capture,붙잡다
care,돌보다; 관심
career,직업; 경력
careful,조심스러운
careless,부주의한
cargo,화물
carpet,카펫
carry,나르다
case,경우; 사건
cash,현금
cast,던지다; 배역
casual,평상시의
cat,고양이
catch,잡다
category,범주
cause,원인; 야기하다
caution,주의
cautious,조심스러운
celebrate,축하하다
celebration,축하
cell,세포
cent,센트
center,중심
central,중앙의
century,세기
ceremony,의식
certain,확실한
certainly,확실히
chain,사슬
chair,의자
chairman,의장
challenge,도전
champion,챔피언
chance,기회
change,변화; 바꾸다
channel,채널
chapter,장
character,성격; 등장인물
characteristic,특징
charge,요금; 책임; 청구하다
charity,자선
chart,도표
chase,쫓다
cheap,값싼
cheat,속이다
check,확인하다
cheer,응원하다
chemical,화학의; 화학물질
chemistry,화학
chest,가슴
chief,주된; 우두머리
child,아이
childhood,어린 시절
choice,선택
choose,선택하다
church,교회
circle,원; 원을 그리다
circumstance,상황
citizen,시민
city,도시
civil,시민의; 민간의
claim,주장하다; 주장
class,학급; 계층
classic,고전의
classify,분류하다
classroom,교실
clean,깨끗한; 청소하다
clear,분명한; 맑은
clearly,분명히
clerk,점원; 사무원
clever,영리한
climate,기후
climb,오르다
clinic,병원
clock,시계
close,닫다; 가까운
closely,면밀히
cloth,천
clothes,옷
cloud,구름
club,동아리; 클럽
clue,단서
coach,코치
coal,석탄
coast,해안
daily,매일의; 매일
damage,손상; 손해를 입히다
danger,위험
dangerous,위험한
dare,감히 ~하다
dark,어두운
darkness,어둠
data,자료; 데이터
date,날짜; 데이트
daughter,딸
dawn,새벽
day,날
dead,죽은
deal,거래; 다루다
dear,사랑하는; 비싼
death,죽음
debate,토론
debt,빚
decade,10년
decay,부패하다; 쇠퇴하다
deceive,속이다
decide,결정하다
decision,결정
declare,선언하다
decline,감소하다; 감소
decorate,장식하다
decrease,감소하다; 감소
deep,깊은
deeply,깊이; 매우
defeat,패배시키다; 패배
defend,방어하다
defense,방어
define,정의하다
degree,정도; 학위
delay,지연; 지연시키다
deliver,배달하다; 전달하다
demand,요구하다; 요구
democracy,민주주의
demonstrate,증명하다; 시위하다
deny,부인하다
department,부서
depend,의존하다
deposit,예금; 맡기다
depress,우울하게 하다
depth,깊이
describe,묘사하다
description,설명
desert,사막; 버리다
deserve,~할 가치가 있다
design,설계하다; 디자인
desire,욕망; 바라다
desk,책상
desperate,절망적인; 필사적인
despite,~에도 불구하고
destination,목적지
destroy,파괴하다
detail,세부 사항
detect,발견하다
determine,결정하다
develop,발전시키다
development,발전; 개발
device,장치
devote,바치다
dialogue,대화
diamond,다이아몬드
diary,일기
dictionary,사전
die,죽다
diet,식단; 다이어트
differ,다르다
difference,차이
different,다른
difficult,어려운
difficulty,어려움
dig,파다
digital,디지털의
dignity,존엄
dimension,차원; 크기
dining,식사의
dinner,저녁 식사
direct,직접적인; 지시하다
direction,방향
director,감독; 책임자
dirt,흙; 먼지
dirty,더러운
disappear,사라지다
disappoint,실망시키다
disaster,재난
discipline,규율; 훈련
discover,발견하다
discovery,발견
discuss,토론하다
discussion,토론
disease,질병
dish,접시; 요리
dismiss,해고하다; 묵살하다
display,전시하다; 전시
distance,거리
distinct,뚜렷이 다른
distinguish,구별하다
distribute,분배하다
district,지역
disturb,방해하다
divide,나누다
division,분할; 부문
dozen,12개의
draft,초안
drag,끌다
drama,드라마; 연극
draw,그리다; 끌다
dream,꿈; 꿈꾸다
dress,옷; 옷을 입다
drink,마시다; 음료
drive,운전하다
drop,떨어뜨리다; 방울
drug,약물
dry,마른; 말리다
due,예정된; ~때문인
during,~동안
duty,의무
each,각각의
eager,열망하는
ear,귀
early,이른; 일찍
earn,벌다
earth,지구
ease,쉬움; 완화하다
easily,쉽게
east,동쪽
eastern,동쪽의
